Customer_id,Surename,Age,Gender,Geography
15634602,Hargrave,42,Female,France
15647311,Hill,41,Female,Spain
15619304,Onio,42,Female,France
15701354,Boni,39,Female,France
15737888,Mitchell,43,Female,Spain
15574012,Chu,44,Male,Spain
15592531,Bartlett,50,Male,France
15656148,Obinna,29,Female,Germany
15792365,He,44,Male,France
15592389,H?,27,Male,France
15767821,Bearce,31,Male,France
15737173,Andrews,24,Male,Spain
15632264,Kay,34,Female,France
15691483,Chin,25,Female,France
15600882,Scott,35,Female,Spain
15643966,Goforth,45,Male,Germany
15737452,Romeo,58,Male,Germany
15788218,Henderson,24,Female,Spain
15661507,Muldrow,45,Male,Spain
15568982,Hao,24,Female,France
15577657,McDonald,41,Male,France
15597945,Dellucci,32,Female,Spain
15699309,Gerasimov,38,Female,Spain
15725737,Mosman,46,Male,France
15625047,Yen,38,Female,France
15738191,Maclean,25,Male,France
15736816,Young,36,Male,Germany
15700772,Nebechi,44,Male,France
15728693,McWilliams,43,Female,Germany
15656300,Lucciano,29,Male,France
15589475,Azikiwe,39,Female,Spain
15706552,Odinakachukwu,36,Male,France
15750181,Sanderson,41,Male,Germany
15659428,Maggard,42,Female,Spain
15732963,Clements,29,Female,Spain
15794171,Lombardo,45,Female,France
15788448,Watson,31,Male,Spain
15729599,Lorenzo,33,Male,Spain
15717426,Armstrong,36,Male,France
15585768,Cameron,41,Male,Germany
15619360,Hsiao,40,Male,Spain
15738148,Clarke,51,Female,France
15687946,Osborne,61,Female,France
15755196,Lavine,49,Female,France
15684171,Bianchi,61,Female,Spain
15754849,Tyler,32,Female,Germany
15602280,Martin,27,Female,Germany
15771573,Okagbue,39,Female,Germany
15766205,Yin,38,Male,Germany
15771873,Buccho,37,Female,Germany
15616550,Chidiebele,44,Male,Germany
15768193,Trevisani,36,Male,Germany
15683553,O'Brien,33,Female,France
15702298,Parkhill,41,Male,Germany
15569590,Yoo,42,Male,Germany
15760861,Phillipps,43,Male,France
15630053,Tsao,45,Male,France
15647091,Endrizzi,19,Male,Germany
15623944,T'ien,66,Female,Spain
15804771,Velazquez,51,Male,France
15651280,Hunter,35,Male,Germany
